title,artist,date,School Name,Borough,Medium
"THE HUMANITIES PROTECTING BIOLOGY, PHYSICS AND CHEMISTRY",Frank Reilly,1959,BRONX HS OF SCIENCE - X,BRONX,"MOSAIC, GLASS"
MUSIC,Frank Roggeni,1925,JAMES MONROE CAMPUS - X,BRONX,OIL ON MASONITE
"""SAGA OF KNOWLEDGE""",Frank Roggeni,1925,JAMES MONROE CAMPUS - X,BRONX,OIL ON MASONITE
UNTITLED,Fred Powell,1958,P.S. 270 - BROOKLYN,BROOKLYN,"ALUMINUM, CAST"
CONSERTE,Fred Powell,1962,I.S. 49 - STATEN ISLAND,STATEN ISLAND,"ALUMINUM, CAST"
PANGAEA,Fred Wilson,1995,TOWNSEND HARRIS HS - Q,QUEENS,"STEEL, PAINTED"
ROMAN GOD JANUS LOOKING TOWARD THE PAST AND FUTURE,Freddy Rodriguez,1988,J.H.S. 157 - QUEENS,QUEENS,TEMPERA ON PANEL
THE GARDEN AND GUITAR,Freddy Rodriguez,,P.S. 37 - BRONX,BRONX,GRANITE
THE GARDEN AND GUITAR,Freddy Rodriguez,,P.S. 37 - BRONX,BRONX,TERRA COTTA
OLYMPIA (FEMALE HEAD),Frederic Taubes,,NEWTOWN HS - QUEENS,QUEENS,ETCHING
"""PORTRAIT OF DANTE""",Frederic Triebel,1921,,,BRONZE
WASHINGTON BEFORE THE BATTLE OF LONG ISLAND,Frederick Lamb,1911,GEORGE WESTINGHOUSE VOC HS - K,BROOKLYN,OIL ON CANVAS
UPWARD,Fredrick Stoddard,1925,P.S. 167 - BROOKLYN,BROOKLYN,OIL ON CANVAS
THE BIRTH AND DEVELOPMENT OF EDUCATION,Fredrick Stoddard,1916,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN,OIL ON CANVAS
WOMANHOOD,Fredrick Stoddard,1908,MNHT COMP NIGHT&DAY (OL BACN X)-M,MANHATTAN,OIL ON CANVAS
WASHINGTON IRVING,Friedreck Beer,1885,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN,"BRONZE, CAST"
"""GRACE L. COREY, ADMINISTRATIVE ASSISTANT""",Furman Finck,1964,ERASMUS HALL CAMPUS - K,BROOKLYN,OIL ON CANVAS
"""ARTE + A =0"" AND ""KATSURA""",G Siegel,,P.S. 50 - BRONX,BRONX,SILKSCREEN
"""THREE CHILDREN""",G Wilson,1964,P.S. 153 - MANHATTAN,MANHATTAN,OIL ON CANVAS
AMERICA A PROPHECY,G. Jones,1975,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
CALLING TO THE KITES,Gary Schmitt,,OSSS / DSF - QUEENS,QUEENS,PRINT
PEAR AND PLATE,Geer Morton,1988,I.S. 45 - MANHATTAN,MANHATTAN,ACRYLIC ON PAPER
CAMILLIA STILL LIFE,Geer Morton,1988,P.S. 29 - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
STUDY OF JACOB VAN RUISDALE,Geer Morton,1988,P.S. 29 - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
BOWL ON TABLE,Geer Morton,1988,P.S. 29 - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
WATER GLASS QUARTET,Geer Morton,1984,P.S. 29 - BROOKLYN,BROOKLYN,OIL ON PAPER
HOUSES OF WEST POINT,Geer Morton,1987,I.S. 164 - MANHATTAN,MANHATTAN,ACRYLIC ON PAPER
COFFEE CAN STUDY,Geer Morton,1988,P.S. 179 - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
CULTURAL DEVELOPMENT OF ART IN CIVILIZATION,Geoffrey Norman,1936,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,OIL ON CANVAS
CULTURAL DEVELOPMENT OF ART IN CIVILIZATION,Geoffrey Norman,1936,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,FRESCO SECCO
A. MORTIMER CLARK,George Browne,1939,DEWITT CLINTON HS - X,BRONX,OIL ON CANVAS
THE CREEK,George Constant,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,ETCHING
FROM THE BALCONY,George Constant,1937,FLUSHING HS - Q,QUEENS,ETCHING
"STILL LIFE WITH PEARS, BOWL AND CLOTH",George Constant,1938,FLUSHING HS - Q,QUEENS,ETCHING
WHEN WE WERE VERY YOUNG,George Constant,1937,FLUSHING HS - Q,QUEENS,ETCHING
GEORGE WASHINGTON BRIDGE,George Constant,1937,DEWITT CLINTON HS - X,BRONX,ETCHING
"""UNITY, SERENITY, PEACE""",George Koras,1971,J.H.S. 237 - QUEENS,QUEENS,"BRONZE, CAST"
ABSTRACTION,George Koras,1976,P.S. 153 - MANHATTAN,MANHATTAN,"BRONZE, CAST"
THE CHALLENGE,George Koras,1972,I.S. 192 - BRONX,BRONX,"BRONZE, CAST"
UNTITLED,George Mason,,P.S. 181 - BROOKLYN,BROOKLYN,"TERRA COTTA, GLAZED"
UNTITLED,George Mason,,P.S. 181 - BROOKLYN,BROOKLYN,CERAMIC
UNTITLED,George Mcneil,1986,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,LITHOGRAPH
THE IDEAL SCHOOL,George Nelson,1927,P.S. 55 - BRONX,BRONX,OIL ON CANVAS
EDUCATION INSPIRES YOUTH TO SERVICE AND LOYALTY,George Nelson,1925,P.S. 55 - BRONX,BRONX,OIL ON CANVAS
WINDOWS,George Ortman,1968,I.S. 144 - BRONX,BRONX,OIL ON MASONITE
WINDOWS,George Ortman,1968,I.S. 144 - BRONX,BRONX,"WOOD, PAINTED"
WINDOWS,George Ortman,1968,I.S. 144 - BRONX,BRONX,ALUMINUM
"ON THE GREEN, NIEUW AMSTERDAM",George Stonehill,1942,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN,OIL ON CANVAS
"""UNTITLED""",George Sugarman,1985,P.S. 4 - STATEN ISLAND,STATEN ISLAND,"ALUMINUM, PAINTED, ENAMEL"
UNTITLED,George Sugarman,1984,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,LITHOGRAPH
GEORGIANO AUGUSTA,Georgiano Augusta,1942,P.S. 152 - QUEENS,QUEENS,OIL ON CANVAS BOARD
UNTITLED,Gerald Digiusto,1973,I.S. 216 - BRONX,BRONX,"BRONZE, SHEET"
EDUCATIONAL MOTIVE: SPORTS & SCIENCE,Gerard Recke,1936,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,STAINED GLASS
SPIRITUAL MOTIVE: GALAHAD,Gerard Recke,1936,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,STAINED GLASS
AESTHETIC MOTIVE,Gerard Recke,1936,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,STAINED GLASS
"""J. HERBERT LOW""",Gertrude Kanno,1929,ERASMUS HALL CAMPUS - K,BROOKLYN,BRONZE
ABRAHAM LINCOLN,Gilbert Sackerman,,DEWITT CLINTON HS - X,BRONX,OIL ON CANVAS
THE BRITTON COTTAGE,Gilmer Petroff,1939,P.S. 1 - STATEN ISLAND,STATEN ISLAND,OIL ON CANVAS
THE PERINE HOUSE,Gilmer Petroff,1939,P.S. 1 - STATEN ISLAND,STATEN ISLAND,OIL ON CANVAS
SOLDIER ABOUT TO MOUNT HIS HORSE (FROM VARI CAPRICCI),Giovanni Tiepolo,1740,NEWTOWN HS - QUEENS,QUEENS,ETCHING
THE BOY COLUMBUS,Giulio Monteverde,,OSSS / DSF - QUEENS,QUEENS,MARBLE
ROLLING WAVES ON THE BEACH,Golda Lewis,,P.S. 102 - BRONX,BRONX,PAPER
"""1970""",Golda Lewis,,P.S. 102 - BRONX,BRONX,ASSEMBLAGE
"""1970""",Golda Lewis,,P.S. 102 - BRONX,BRONX,METAL
UNTITLED,Golda Lewis,,P.S. 102 - BRONX,BRONX,PAPER
UNTITLED,Golda Lewis,,P.S. 102 - BRONX,BRONX,TREE BARK
UNITITLED,Golda Lewis,,P.S. 102 - BRONX,BRONX,PAPER
UNITITLED,Golda Lewis,,P.S. 102 - BRONX,BRONX,WATERCOLOR
QUESTION #85,Golda Lewis,,P.S. 102 - BRONX,BRONX,ASSEMBLAGE
QUESTION #85,Golda Lewis,,P.S. 102 - BRONX,BRONX,ALUMINUM
QUESTION #85,Golda Lewis,,P.S. 102 - BRONX,BRONX,PAPER
DRAWING IN LEATHER,Golda Lewis,,P.S. 102 - BRONX,BRONX,PASTEL
UNTITLED,Golda Lewis,1966,OSSS / DSF - QUEENS,QUEENS,PAPER
UNTITLED,Golda Lewis,1966,OSSS / DSF - QUEENS,QUEENS,PLASTIC
UNTITLED,Golda Lewis,1966,OSSS / DSF - QUEENS,QUEENS,FABRIC
ROCK AND TREES,Golda Lewis,,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
BLACK AND SILVER MOUNTAIN,Golda Lewis,1980,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
BLACK AND SILVER MOUNTAIN,Golda Lewis,1980,OSSS / DSF - QUEENS,QUEENS,ALUMINUM
COMPAGE,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,ALUMINUM
COMPAGE,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,METAL
COMPAGE,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
"MEGALITH IN MARIAGER FJORD, DENMARK",Golda Lewis,1992,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
"MEGALITH IN MARIAGER FJORD, DENMARK",Golda Lewis,1992,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
"DOLLOMITE, JUTLAND, DENMARK",Golda Lewis,1992,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
"DOLLOMITE, JUTLAND, DENMARK",Golda Lewis,1992,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
UNTITLED,Golda Lewis,1974,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
UNTITLED,Golda Lewis,1974,OSSS / DSF - QUEENS,QUEENS,METAL
CIRCLE 101,Golda Lewis,1973,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
CIRCLE 101,Golda Lewis,1973,OSSS / DSF - QUEENS,QUEENS,METAL
CIRCLE 101,Golda Lewis,1973,OSSS / DSF - QUEENS,QUEENS,ASSEMBLAGE
THE TALLEST FLOWER,Golda Lewis,1979,OSSS / DSF - QUEENS,QUEENS,ASSEMBLAGE
THE TALLEST FLOWER,Golda Lewis,1979,OSSS / DSF - QUEENS,QUEENS,METAL
TIME: THE FLOWER STASHA,Golda Lewis,1973,P.S. 375 - BROOKLYN,BROOKLYN,ASSEMBLAGE
TIME: THE FLOWER STASHA,Golda Lewis,1973,P.S. 375 - BROOKLYN,BROOKLYN,METAL
DOLMEN JUTLAND DENMARK,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
DOLMEN JUTLAND DENMARK,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,METAL
DOLMEN ALBORG DENMARK,Golda Lewis,,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
DOLMEN ALBORG DENMARK,Golda Lewis,,OSSS / DSF - QUEENS,QUEENS,GOUACHE
MEGALITH CUT IN MARIAGER FJORD,Golda Lewis,,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
MEGALITH CUT IN MARIAGER FJORD,Golda Lewis,,OSSS / DSF - QUEENS,QUEENS,GOUACHE
UNTITLED,Golda Lewis,1991,OSSS / DSF - QUEENS,QUEENS,GOUACHE
UNTITLED,Golda Lewis,1991,OSSS / DSF - QUEENS,QUEENS,ASSEMBLAGE
UNTITLED (ROCKS & BLUE SKIES),Golda Lewis,,I.S. 390 - BROOKLYN,BROOKLYN,GOUACHE
UNTITLED (ROCKS & BLUE SKIES),Golda Lewis,,I.S. 390 - BROOKLYN,BROOKLYN,HAND MADE PAPER
AFRICAN FIGURE,Golda Lewis,1973,P.S. 375 - BROOKLYN,BROOKLYN,METAL
AFRICAN FIGURE,Golda Lewis,1973,P.S. 375 - BROOKLYN,BROOKLYN,TREE BARK
AFRICAN FIGURE,Golda Lewis,1973,P.S. 375 - BROOKLYN,BROOKLYN,GOUACHE
UNTITLED,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,HAND MADE PAPER
UNTITLED,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,METAL
UNTITLED,Golda Lewis,1970,OSSS / DSF - QUEENS,QUEENS,ASSEMBLAGE
THE TALLEST FLOWER,Golda Lewis,1979,OSSS / DSF - QUEENS,QUEENS,METAL
THE TALLEST FLOWER,Golda Lewis,1979,OSSS / DSF - QUEENS,QUEENS,ASSEMBLAGE
UNTITLED,Gonzalo Fonseca,1967,P.S. 46 - MANHATTAN,MANHATTAN,CONCRETE
THE BRONX,Gregg Lefevre,1993,P.S. 209 - BRONX,BRONX,BRONZE
TWELVE MONTHS,Gregory Frux,1991,P.S. 62 - QUEENS,QUEENS,TERRA COTTA
DAY & NIGHT,Gregory Frux,1990,P.S. 62 - QUEENS,QUEENS,TERRA COTTA
JOSEPH LIGHTING,Gregory Frux,2000,I.S. 285 - BROOKLYN,BROOKLYN,OIL ON WOOD
SELF PORTRAIT,Gregory Gillespie,1984,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,LITHOGRAPH
BLUE SPRUCE (NAVAJO),Gregory Perillo,1982,P.S. 35 - STATEN ISLAND,STATEN ISLAND,OIL ON CANVAS
PORTAIT OF KATE TURNER,Greta Kempton,1936,ERASMUS HALL CAMPUS - K,BROOKLYN,OIL ON CANVAS
IMPORTANT WOMEN IN WOOL INDUSTRY,Guy Maccoy,,BKLYN HS OF THE ARTS (OL S J HL)-K,BROOKLYN,OIL ON CANVAS
"""IMPORTANT WOMEN IN SILK INDUSTRY"", ...",Guy Maccoy,1939,BKLYN HS OF THE ARTS (OL S J HL)-K,BROOKLYN,OIL ON CANVAS
"SUN, BIRDS, AND LIGHT/ EAGLE",Gwen Lux,1959,P.S. 19 - MANHATTAN,MANHATTAN,MOSAIC
"SUN, BIRDS, AND LIGHT/ EAGLE",Gwen Lux,1959,P.S. 19 - MANHATTAN,MANHATTAN,GLASS
"SUN, BIRDS, AND LIGHT/ EAGLE",Gwen Lux,1959,P.S. 19 - MANHATTAN,MANHATTAN,STEEL
VAPOR TRAILS,Gwen Lux,1958,AVIATION HS - Q,QUEENS,"STEEL, STAINLESS"
"""EDUCATION-ASPIRATION""",Gwen Lux,1954,GEORGE W. WINGATE HS - K,BROOKLYN,BRONZE
"""EDUCATION-ASPIRATION""",Gwen Lux,1954,GEORGE W. WINGATE HS - K,BROOKLYN,"STEEL, PAINTED"
EIGHT BROOKLYN LANDMARKS AND WILD LIFE OF NY STATE,Gwen-Lin Goo,2006,P.S./I.S. 395 - BROOKLYN,BROOKLYN,CERAMIC TILE
THE ETCHING PRINTER,Gyula Zilzer,1937,FORT HAMILTON HS - K,BROOKLYN,ETCHING
CONNECTICUT WATERFRONT,Gyula Zilzer,1936,FLUSHING HS - Q,QUEENS,ETCHING
FISHING VILLAGE CLINTON CONN.,Gyula Zilzer,1936,DEWITT CLINTON HS - X,BRONX,"ETCHING, COLOR"
NEW YORK CITY,H.N. Hans,,BROWNSVILLE DIPLOMA PLUS HS - K,BROOKLYN,OIL ON CANVAS
TIDEWATER,Hank Lavethol,1985,I.S. 192 - BRONX,BRONX,"ETCHING, COLOR"
"""UNTITLED""",Hank Prussing,1987,SOUTH SHORE HS - K,BROOKLYN,"PLASTER, PAINTED"
"""TALL TREES""",Hans Foy,,I.S. 135 - BRONX,BRONX,OIL ON CANVAS BOARD
"""DOMESTIC LANDSCAPE""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS BOARD
"""LANDSCAPE""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
LANDSCAPE,Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"""FEMALE NUDE""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"""HILLSIDE WITH FIELDS AND HOUSE""",Hans Foy,1935,P.S. 190 - BROOKLYN,BROOKLYN,OIL ON CANVAS BOARD
HILLSIDE WITH BLUE BARN,Hans Foy,,P.S. 190 - BROOKLYN,BROOKLYN,OIL ON CANVAS BOARD
"""SAILBOATS""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"""CHURCH STEEPLE""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS BOARD
"""LANDSCAPE WITH ORANGE AND YELLOW BARNS""",Hans Foy,,I.S. 135 - BRONX,BRONX,OIL ON CANVAS BOARD
"""CHERRY TREES""",Hans Foy,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS BOARD
"""LANDSCAPE WITH ORANGE HOUSES AND BLUE MOUNTAINS""",Hans Foy,,P.S. 190 - BROOKLYN,BROOKLYN,OIL ON BOARD
"""LANDSCAPE WITH TREES AT CENTER""",Hans Foy,,I.S. 135 - BRONX,BRONX,OIL ON CANVAS BOARD
UNTITLED,Hans Hofmann,1958,HS OF GRAPHIC COMMUNICATION ARTS-M,MANHATTAN,"MOSAIC, GLASS"
UNDER THE BRIDGE,Harold Faye,,FORT HAMILTON HS - K,BROOKLYN,LITHOGRAPH
SPUYTEN DUYVIL,Harold Faye,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
JERSEY LOCOMOTIVE,Harold Faye,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
"""ABSTRACTION""",Harold Kihl,1967,I.S. 219 (OLD 148) - BRONX,BRONX,CERAMIC
"""EARLY AMERICAN EXPLORATION""",Harold Kihl,1966,I.S. 219 (OLD 148) - BRONX,BRONX,CERAMIC
"""ASTRONAUTS""",Harold Kihl,1967,I.S. 219 (OLD 148) - BRONX,BRONX,"MOSAIC, CERAMIC"
"""AMERICAN HISTORY: PRESIDENTS""",Harold Kihl,1966,I.S. 219 (OLD 148) - BRONX,BRONX,CERAMIC
"""WORK TOOLS""",Harriet Hyams,1978,P.S. 721 (OTC) - BRONX,BRONX,STAINED GLASS
THE SEASONS,Harriet Hyams,1962,NEW DORP HS (NEW) - S. I.,STATEN ISLAND,STAINED GLASS
"""MAYFLOWER""",Harris Rodvogin,1937,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
CONSTITUTION #2,Harris Rodvogin,1937,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
NORTH BEACH AIRPORT,Harris Rodvogin,1939,P.S. 2 - QUEENS,QUEENS,OIL ON CANVAS
SKATING ON ROUNDOUT CREEK,Harry Gottlieb,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
SOIL,Harry Koursaros,1981,P.S. 65 - QUEENS,QUEENS,ACRYLIC ON CANVAS
MONTAUK FISHING VILLAGE,Harry Shokler,,FORT HAMILTON HS - K,BROOKLYN,WOODCUT
COUNTRY FIRE HOUSE,Harry Shokler,1937,FLUSHING HS - Q,QUEENS,SILKSCREEN
COUNTRY LANE #3,Harry Shoulberg,,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
MOONSCAPE #5,Harry Shoulberg,,OSSS / DSF - QUEENS,QUEENS,OIL ON LINEN
MOONSCAPE,Harry Shoulberg,,OSSS / DSF - QUEENS,QUEENS,
INDUSTRIAL SITE,Harry Shoulberg,,OSSS / DSF - QUEENS,QUEENS,OIL ON LINEN
WATERSIDE LANDSCAPE #9,Harry Shoulberg,,OSSS / DSF - QUEENS,QUEENS,OIL ON LINEN
MAN'S DREAM,Harry Sternberg,1940,FORT HAMILTON HS - K,BROOKLYN,ETCHING
"""STEEL MILL""",Harry Sternberg,1937,DEWITT CLINTON HS - X,BRONX,ETCHING
NIGHT FLIGHT,Harry Sternberg,1937,FRANK SINATRA HIGH SCHOOL-Q,QUEENS,"ETCHING, COLOR"
EARLY XVIII CENTURY LINEN,Harry Wolfson,,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
SWATCH OF YARD GOOD PRINTED WITH PORTRAIT OF GEORGE WASHINGTON,Harry Wolfson,1937,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
PANORAMA,Harvey Kidder,,P.S. 229 - QUEENS,QUEENS,WATERCOLOR
NIGHTWATCH,Hedy O'Beil,1974,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
MOONGLOW,Hedy O'Beil,,OSSS / DSF - QUEENS,QUEENS,
BLUE BOW,Hedy O'Beil,,OSSS / DSF - QUEENS,QUEENS,
MOONGLOW 3,Hedy O'Beil,,OSSS / DSF - QUEENS,QUEENS,
A SPECIAL MORNING,Hedy O'Beil,,P.S. 214 - BRONX,BRONX,ACRYLIC ON CANVAS
RUNNING WOMAN,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
LA FEMME DANS LE JARDIN,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
WHITE HAT FLOATING,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
BIG PINK,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
A PARTICULAT MORNING,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
THE SEA,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
UNTITLED (DARK RED BACKGROUND),Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,
UNTITLED (GREEN BACKGROUND),Hedy O'Beil,,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
UNTITLED,Hedy O'Beil,,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
"""NIGHT SCENE""",Helen Myers,,NEWTOWN HS - QUEENS,QUEENS,ETCHING
BASEBALL AND JUMPROPE,Helen Nelson,1938,I.S. 232 - BROOKLYN,BROOKLYN,PLASTER CAST
"""STANDING CHILDREN""",Helen Nelson,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,"PLASTER, PAINTED"
"""CANARSIE INDIANS""",Helen Treadwell,1962,P.S. 282 - BROOKLYN,BROOKLYN,"MOSAIC, MARBLE"
"""CANARSIE INDIANS""",Helen Treadwell,1962,P.S. 282 - BROOKLYN,BROOKLYN,"MOSAIC, GLASS"
"""THE SCIENCES"", ""THE ARTS""",Helen Treadwell,1968,I.S. 318 - BROOKLYN,BROOKLYN,MOSAIC
EARLY NEWSPAPER PRINTING,Helen Treadwell,1958,P.S. 111 - MANHATTAN,MANHATTAN,MOSAIC
"""POPULAR CHARACTERS FROM CHILDREN'S BOOKS""",Helen Treadwell,1961,P.S. 100 - BRONX,BRONX,"MOSAIC, GLASS"
FREEDOM FOR PROGRESS,Helen Treadwell,,THEODORE ROOSEVELT HS - X,BRONX,ACRYLIC ON PANEL
FREEDOM FOR PROGRESS,Helen Treadwell,,THEODORE ROOSEVELT HS - X,BRONX,ACRYLIC ON PAPER
HOMAGE TO HALE WOODRUFF,Helene Manzo,1997,P.S. 224 - BROOKLYN,BROOKLYN,"MOSAIC, GLASS"
HOMAGE TO HALE WOODRUFF,Helene Manzo,1997,P.S. 224 - BROOKLYN,BROOKLYN,"MOSAIC, MARBLE"
ANIMALS ALL AROUND,Helene Manzo,1997,P.S. 224 - BROOKLYN,BROOKLYN,CERAMIC
DESIDERIUS ERASMUS,Hendrick De Keiser,1930,ERASMUS HALL CAMPUS - K,BROOKLYN,"BRONZE, CAST"
DAILY WORKER,Hendryk Glintenkamp,1934,OSSS / DSF - QUEENS,QUEENS,WOODCUT
JOAN OF ARC,Henri Chapu,1933,TELECOM. ARTS & TECH. - K,BROOKLYN,PLASTER CAST
A STREET IN SEVILLE,Henry Brewer,1920,FORT HAMILTON HS - K,BROOKLYN,"ETCHING, COLOR"
"""CITY OF NEW YORK""",Henry Poor,1956,J.H.S. 185 - QUEENS,QUEENS,MOSAIC
"""CITY OF NEW YORK""",Henry Poor,1956,J.H.S. 185 - QUEENS,QUEENS,CERAMIC
"TRUTH, RESEARCH",Herbert Adams,1896,ERASMUS HALL CAMPUS - K,BROOKLYN,PLASTER CAST
UNTITLED,Herbert Creecy,1981,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
JONAH/AHAB,Herbert Pinkney,1987,I.S. 135 - BRONX,BRONX,OIL ON CANVAS
"""PORTAGE""",Herbert Pinkney,1987,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"MAQUETTE FOR ""PIONEER MONUMENT""",Herman Macneil,1920,P.S. 29  - QUEENS,QUEENS,"PLASTER, PAINTED"
"CHILDREN IN VOCATIONAL ACTIVITIES, CHILDREN AT PLAY",Herman Simms,1939,P.S. 216 - BROOKLYN,BROOKLYN,OIL ON CANVAS
"CHILDREN IN VOCATIONAL ACTIVITIES, CHILDREN AT PLAY",Herman Simms,1939,P.S. 216 - BROOKLYN,BROOKLYN,FRESCO SECCO
GONE TO THE MOON,Hildegarde Rath,,OSSS / DSF - QUEENS,QUEENS,PRINT
TELEPHONE LINEMAN . . .,Hildreth Meiere,1939,P.S. 144 - QUEENS,QUEENS,ACRYLIC ON PAPER
UNTITLED,Holly Zausner,1990,OSSS / DSF - QUEENS,QUEENS,HYDROCAL
VERTICAL RECTANGLES IN GRAYED GREENS,Howard Conant,1972,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
FLORES AMARILLAS ANARAJADAS ROSA PURPURAS Y ROJAS,Howard Conant,1975,OSSS / DSF - QUEENS,QUEENS,SILVER LEAF
FLORES AMARILLAS ANARAJADAS ROSA PURPURAS Y ROJAS,Howard Conant,1975,OSSS / DSF - QUEENS,QUEENS,GOLD LEAF
FLORES AMARILLAS ANARAJADAS ROSA PURPURAS Y ROJAS,Howard Conant,1975,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
FLORES AMARILLAS ANARAJADAS ROSA PURPURAS Y ROJAS,Howard Conant,1975,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
LANDSCAPE IN BROWNS,Howard Conant,1976,MANHATTAN ACADEMY FOR ARTS AND LANGUAGE - M,MANHATTAN,ACRYLIC ON CANVAS
LANDSCAPE IN BROWNS,Howard Conant,1976,MANHATTAN ACADEMY FOR ARTS AND LANGUAGE - M,MANHATTAN,SAND
HOMAGE A RILKE,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
HOMAGE A RILKE,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,SAND
ARIZONA LANDSCAPE 1,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
ARIZONA LANDSCAPE 1,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,SAND
MAYAN MOTIF,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
MAYAN MOTIF,Howard Conant,1976,OSSS / DSF - QUEENS,QUEENS,SAND
ABSTRACT LANDSCAPE,Howard Conant,1973,P.S. 119 - BROOKLYN,BROOKLYN,ACRYLIC ON ILLUSTRATION BOARD
SOFT EDGED GEOMETRIC,Howard Conant,,P.S. 224 - BROOKLYN,BROOKLYN,ACRYLIC ON ILLUSTRATION BOARD
BLUE & WHITE CONFLUENCE,Howard Conant,,R. F. KENNEDY COMM. MIDDLE/HS-Q,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
FINIAL AT WASHINTON SQUARE,Howard Conant,,ALTERNATIVE LEARNING CENTER - MANHATTAN,MANHATTAN,GOUACHE
