title,artist,date,School Name,Borough,Medium
BROOKLYN STREET,Anne Nooney,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
HENRIETTA SZOLD,Annie Malmud,1958,P.S. 134 - MANHATTAN,MANHATTAN,BRONZE
FREEDOM FOR ALL,Anthony Toney,1975,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,OIL ON BOARD
ADELE'S STUDENTS,Anthony Toney,,P.S./I.S. 266 - QUEENS,QUEENS,OIL ON CANVAS
UNKNOWN,Anthony Toney,,OSSS / DSF - QUEENS,QUEENS,
COLORFUL FIGURES OF AMERICAN HISTORY,Anton Refregier,1958,P.S. 146 - BRONX,BRONX,CERAMIC TILE
THE FLYING BOOK,Anton Van Dalen,1996,P.S. 20 - BRONX,BRONX,ACRYLIC ON PANEL
GARDEN WALL,Anton Van Dalen,1996,P.S. 20 - BRONX,BRONX,CERAMIC
GARDEN WALL,Anton Van Dalen,1996,P.S. 20 - BRONX,BRONX,"ENAMEL, PORCELAIN"
GARDEN PATH,Anton Van Dalen,1996,P.S. 20 - BRONX,BRONX,"METAL, ENAMELED"
"""LUX AT VERITAS""",Antonio De Filippo,1931,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,BRONZE
CHILDREN'S ABC,Antonio Martorell,,P.S. 48 - MANHATTAN,MANHATTAN,"WOODCUT, COLOR"
"CHILDREN'S ALPHABET - THE LETTER ""Y""",Antonio Martorell,1994,OSSS / DSF - QUEENS,QUEENS,"WOODCUT, COLOR"
LETTER Y,Antonio Martorell,,OSSS / DSF - QUEENS,QUEENS,CRAYON
LETTER Y,Antonio Martorell,,OSSS / DSF - QUEENS,QUEENS,PAPER
LETTER Y,Antonio Martorell,1994,JOHN JAY HS - K,BROOKLYN,"WOOD, CARVED"
LETTER Y,Antonio Martorell,1994,JOHN JAY HS - K,BROOKLYN,"WOODCUT, COLOR"
"""ORNAMENTAL WORLD MAP""",Architects Milnes And Melniker,1957,P.S. 50 - STATEN ISLAND,STATEN ISLAND,TERRA COTTA
"AMERICAN ORIGINS - DO RE MI, DOO WOP, PADME HUMM",Arlan Huang,1996,P.S. 152 - BROOKLYN,BROOKLYN,GLASS
HOPSCOTCH (STAIRS) & RUNNING WILD (WALL),Arlene Slavin,1995,P.S. 130 - MANHATTAN,MANHATTAN,"STEEL, PAINTED"
MASAI BRAID #1,Arnold Gold,1996,I.S. 390 - BROOKLYN,BROOKLYN,WOOD
"IT WAS ONLY TODAY, YESTERDAY",Art Spiegelman,2012,MIDTOWN EAST CAMPUS - MANHATTAN,MANHATTAN,ETCHING
"IT WAS ONLY TODAY, YESTERDAY",Art Spiegelman,2012,MIDTOWN EAST CAMPUS - MANHATTAN,MANHATTAN,GLASS
"IT WAS ONLY TODAY, YESTERDAY",Art Spiegelman,2012,MIDTOWN EAST CAMPUS - MANHATTAN,MANHATTAN,"STAINED GLASS, PAINTED"
BEACH OF VALENCIA BY MORNING LIGHT,Arthur Mower,1936,TELECOM. ARTS & TECH. - K,BROOKLYN,OIL ON CANVAS
"""BUST OF COLUMBUS""",Attilio Piccirilli,1925,I.S. 45 - BRONX,BRONX,MARBLE
IN MEMORIAM (AFTER CONFLICT COMES PEACE),Auguste Gorguet,1926,MORRIS HS - X,BRONX,OIL ON CANVAS
THE FADED REMEMBRANCE OF COLOR,Augustin De Andino,1995,P.S. 376A - BROOKLYN,BROOKLYN,CERAMIC
WOMAN WITH RED HAIR,Augustus Peck,1937,FORT HAMILTON HS - K,BROOKLYN,MONO TYPE
"""MENTAL, SPIRITUAL AND PHYSICAL ACTIVITIES""",Austin Purves,1959,P.S. 163 - MANHATTAN,MANHATTAN,"ALUMINUM, POLISHED"
"""LANDSCAPE""",B. Milavsky,1933,FRANKLIN K. LANE HS - K,BROOKLYN,OIL ON CANVAS
DOCK SCENE EAST RIVER,B.S. Graen,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,LITHOGRAPH
"SUBTERRANEAN HIP-HOP, FELIPE'S CARTOON",Barbara Cooper,1994,P.S. 12 - BRONX,BRONX,GLASS
"SUBTERRANEAN HIP-HOP, FELIPE'S CARTOON",Barbara Cooper,1994,P.S. 12 - BRONX,BRONX,CONCRETE
"SUBTERRANEAN HIP-HOP, FELIPE'S CARTOON",Barbara Cooper,1994,P.S. 12 - BRONX,BRONX,CERAMIC TILE
UNTITLED,Barry Blair,1985,P.S. 4 - STATEN ISLAND,STATEN ISLAND,"STEEL, PAINTED"
SCENES FROM THE EARLY HISTORY OF MANHATTAN,Barry Faulkner,,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN,OIL ON WOOD
SLATE YARD,Beatrice Mandelman,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,SILKSCREEN
THE WHITE CHURCH,Beatrice Mandelman,1938,FLUSHING HS - Q,QUEENS,SILKSCREEN
UNTITLED - HAND BOUND BOOK OF PRINTS,Beatrice Romano,1940,FORT HAMILTON HS - K,BROOKLYN,PAPER
THE FISHERMAN,Ben Berm,1938,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
"""HARRY EISNER PRINCIPAL OF FRANKILIN LANE HIGH SCHOOL 1948-1962""",Ben Clements,1964,FRANKLIN K. LANE HS - K,BROOKLYN,OIL ON CANVAS
COMMON GROUND,Ben Schonzeit,1996,P.S. 205 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
"STUDY FOR COMMON GROUND, MURAL AT PS 205K",Ben Schonzeit,1994,NYC SCHOOL CONSTR. AUTHORITY - QUEENS,QUEENS,ACRYLIC ON CANVAS
SCIENCE AND THE HUMANITIES,Ben Shahn,1957,WILLIAM E. GRADY VOC HS - K,BROOKLYN,MOSAIC
WATERFRONT,Benito Hoffman,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
"""DECORATIVE MAPS""",Benjamin Knotts,1934,JULIA RICHMAN ED. COMPLEX - M,MANHATTAN,OIL ON CANVAS
KENTUCKY CABIN,Bernard Schardt,1940,FORT HAMILTON HS - K,BROOKLYN,WOODCUT
KENTUCKY CABIN,Bernard Schardt,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
RIVER DRIVE,Bernard Steffen,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,"LITHOGRAPH, COLOR"
FILLE DE DOS,Berthe Morisot,,NEWTOWN HS - QUEENS,QUEENS,ETCHING
EVOLUTION OF THE BOOK,Bertram Goodman,1936,THEODORE ROOSEVELT HS - X,BRONX,OIL ON CANVAS
"""SKYLINE""",Bertram Goodman,1946,ABRAHAM LINCOLN HS - K,BROOKLYN,WATERCOLOR
THE LIBERATOR- THREE MOMENTOUS EVENTS IN AMERICAN HISTORY,Beta Porter,,OSSS / DSF - QUEENS,QUEENS,PRINT
FREEDOM UNDER THE CONSTITUTION,Beta Porter,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
OUR COMMUNITY THEN AND NOW,Beth Bailis,1994,P.S. 50 - QUEENS,QUEENS,ACRYLIC ON MASONITE
SOUND PLAYGROUND,Bill & Mary Buchen,1992,P.S. 23 - BRONX,BRONX,STEEL
SOUND PLAYGROUND,Bill & Mary Buchen,1992,P.S. 23 - BRONX,BRONX,CONCRETE
SOUND PLAYGROUND,Bill & Mary Buchen,1992,P.S. 23 - BRONX,BRONX,BRONZE
SOUND CARNIVAL,Bill & Mary Buchen,,P.S. 244 - BROOKLYN,BROOKLYN,BRONZE
SOUND CARNIVAL,Bill & Mary Buchen,,P.S. 244 - BROOKLYN,BROOKLYN,STEEL
SOUND CARNIVAL,Bill & Mary Buchen,,P.S. 244 - BROOKLYN,BROOKLYN,CONCRETE
SOUND CARNIVAL,Bill & Mary Buchen,,P.S. 244 - BROOKLYN,BROOKLYN,"STEEL, STAINLESS"
YELLOW SHUNT,Bill Taggart,1977,I.S. 98 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
ONE LINE,Bing Lee,,TOWNSEND HARRIS HS - Q,QUEENS,ALUMINUM
ONE LINE,Bing Lee,,TOWNSEND HARRIS HS - Q,QUEENS,CERAMIC
YOU ARE HERE,Bing Lee,2004,P.S. 242 - (ECC) - QUEENS,QUEENS,CERAMIC TILE
ONCE UPON A TIME,Bing Lee,1996,P.S. 88 - QUEENS,QUEENS,CERAMIC
MILL,Blanche Grambs,1937,FLUSHING HS - Q,QUEENS,"ETCHING, COLOR"
DRAWING WATER ON THE FARM,Blandon Campbell,1937,DEWITT CLINTON HS - X,BRONX,MONO TYPE
HIGH TIDE-LOW TIDE-BEACHY HEAD,Bob Chaplin,1979,P.S. 203 - BROOKLYN,BROOKLYN,WATERCOLOR
"""SCHOOL PLAYTIME""",Bogdan Grom,1967,P.S. 335 - BROOKLYN,BROOKLYN,TERRA COTTA
"ACCIDENT, STREET SCENE",Boris Gorelick,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,LITHOGRAPH
